time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-23 00:00:00+00:00,2,2,1.0,1.0
2023-02-24 00:00:00+00:00,4,3,7.0,3.0
2023-02-25 00:00:00+00:00,1,1,16.0,2.0
2023-02-26 00:00:00+00:00,3,3,,
2023-02-27 00:00:00+00:00,78,6,25.0,5.0
2023-02-28 00:00:00+00:00,2,2,11.0,2.0
2023-03-01 00:00:00+00:00,5,4,14.0,4.0
2023-03-02 00:00:00+00:00,5,4,6.0,2.0
2023-03-03 00:00:00+00:00,2,2,6.0,2.0
2023-03-04 00:00:00+00:00,1,1,4.0,1.0
2023-03-05 00:00:00+00:00,3,3,,
2023-03-06 00:00:00+00:00,6,6,10.0,2.0
2023-03-07 00:00:00+00:00,5,3,7.0,2.0
2023-03-08 00:00:00+00:00,4,2,4.0,3.0
