time_iso8601,stars_cumulative
2017-04-14 00:00:00+00:00,1
2017-06-22 00:00:00+00:00,2
2017-12-17 00:00:00+00:00,3
2017-12-29 00:00:00+00:00,4
2018-01-25 00:00:00+00:00,5
2018-04-27 00:00:00+00:00,6
2018-05-22 00:00:00+00:00,8
2018-05-30 00:00:00+00:00,9
2018-12-15 00:00:00+00:00,10
2018-12-16 00:00:00+00:00,12
2018-12-17 00:00:00+00:00,15
2018-12-22 00:00:00+00:00,16
2018-12-27 00:00:00+00:00,17
2019-01-16 00:00:00+00:00,18
2019-02-01 00:00:00+00:00,19
2019-02-06 00:00:00+00:00,20
2019-02-11 00:00:00+00:00,21
2019-02-23 00:00:00+00:00,22
2019-02-24 00:00:00+00:00,23
2019-02-25 00:00:00+00:00,25
2019-03-28 00:00:00+00:00,26
2019-04-12 00:00:00+00:00,27
2019-05-05 00:00:00+00:00,28
2019-06-03 00:00:00+00:00,29
2019-06-25 00:00:00+00:00,30
2019-07-18 00:00:00+00:00,31
2019-07-29 00:00:00+00:00,33
2019-08-04 00:00:00+00:00,34
2019-09-12 00:00:00+00:00,36
2019-09-24 00:00:00+00:00,38
2019-09-27 00:00:00+00:00,39
2019-09-29 00:00:00+00:00,42
2019-10-14 00:00:00+00:00,43
2019-12-10 00:00:00+00:00,44
2019-12-11 00:00:00+00:00,45
2020-01-16 00:00:00+00:00,46
2020-04-08 00:00:00+00:00,47
2020-04-21 00:00:00+00:00,48
2020-05-17 00:00:00+00:00,49
2020-06-03 00:00:00+00:00,50
2020-08-22 00:00:00+00:00,51
2020-09-14 00:00:00+00:00,52
2020-10-19 00:00:00+00:00,53
2021-01-22 00:00:00+00:00,54
2021-02-15 00:00:00+00:00,55
2021-02-26 00:00:00+00:00,56
2021-06-04 00:00:00+00:00,57
2021-06-12 00:00:00+00:00,58
2021-06-16 00:00:00+00:00,59
2021-07-06 00:00:00+00:00,60
2021-07-13 00:00:00+00:00,62
2021-07-19 00:00:00+00:00,63
2021-08-01 00:00:00+00:00,64
2021-12-14 00:00:00+00:00,65
2021-12-23 00:00:00+00:00,67
2022-02-06 00:00:00+00:00,68
2022-05-10 00:00:00+00:00,69
2022-07-18 00:00:00+00:00,70
2022-08-02 00:00:00+00:00,71
2022-09-27 00:00:00+00:00,72
2023-07-25 00:00:00+00:00,74
2023-10-10 00:00:00+00:00,75
2023-11-02 00:00:00+00:00,76
2023-11-14 00:00:00+00:00,77
2023-12-14 00:00:00+00:00,78
2023-12-18 00:00:00+00:00,79
2024-05-17 00:00:00+00:00,80
2024-06-10 00:00:00+00:00,81
2024-07-04 00:00:00+00:00,82
2024-08-07 00:00:00+00:00,83
2024-12-03 00:00:00+00:00,84
2025-01-03 00:00:00+00:00,85
