time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-06 00:00:00+00:00,0,0,6,1
2022-05-07 00:00:00+00:00,2,2,3,1
2022-05-08 00:00:00+00:00,11,2,6,2
2022-05-09 00:00:00+00:00,18,3,3,2
2022-05-10 00:00:00+00:00,20,3,28,5
2022-05-11 00:00:00+00:00,19,3,8,3
2022-05-12 00:00:00+00:00,10,4,16,4
2022-05-13 00:00:00+00:00,1,1,0,0
2022-05-14 00:00:00+00:00,2,2,0,0
2022-05-15 00:00:00+00:00,14,2,0,0
2022-05-16 00:00:00+00:00,10,3,24,6
2022-05-17 00:00:00+00:00,11,2,1,1
2022-05-18 00:00:00+00:00,21,1,3,2
2022-05-19 00:00:00+00:00,98,12,114,5
2022-05-20 00:00:00+00:00,32,13,53,3
2022-05-21 00:00:00+00:00,8,8,19,2
2022-05-22 00:00:00+00:00,25,5,7,1
2022-05-23 00:00:00+00:00,34,8,57,1
2022-05-24 00:00:00+00:00,31,8,54,10
2022-05-25 00:00:00+00:00,14,5,8,4
2022-05-26 00:00:00+00:00,13,6,0,0
2022-05-27 00:00:00+00:00,9,7,3,1
2022-05-28 00:00:00+00:00,8,5,0,0
2022-05-29 00:00:00+00:00,21,5,1,1
2022-05-30 00:00:00+00:00,18,4,0,0
2022-05-31 00:00:00+00:00,30,8,3,3
2022-06-01 00:00:00+00:00,55,7,8,2
2022-06-02 00:00:00+00:00,17,8,23,4
2022-06-03 00:00:00+00:00,6,4,18,5
2022-06-04 00:00:00+00:00,7,5,1,1
2022-06-05 00:00:00+00:00,12,8,3,1
2022-06-06 00:00:00+00:00,16,6,1,1
2022-06-07 00:00:00+00:00,14,4,2,1
2022-06-08 00:00:00+00:00,17,6,2,1
2022-06-09 00:00:00+00:00,13,5,3,2
2022-06-10 00:00:00+00:00,5,5,9,3
2022-06-11 00:00:00+00:00,2,2,1,1
2022-06-12 00:00:00+00:00,43,6,0,0
2022-06-13 00:00:00+00:00,12,6,13,4
2022-06-14 00:00:00+00:00,31,9,3,3
2022-06-15 00:00:00+00:00,20,5,3,2
2022-06-16 00:00:00+00:00,14,6,1,1
2022-06-17 00:00:00+00:00,3,3,2,2
2022-06-18 00:00:00+00:00,5,5,2,1
2022-06-19 00:00:00+00:00,30,7,1,1
2022-06-20 00:00:00+00:00,17,5,4,1
2022-06-21 00:00:00+00:00,28,6,1,1
2022-06-22 00:00:00+00:00,21,5,3,1
2022-06-23 00:00:00+00:00,24,4,6,3
2022-06-24 00:00:00+00:00,5,5,5,2
2022-06-25 00:00:00+00:00,6,6,0,0
2022-06-26 00:00:00+00:00,29,7,7,3
2022-06-27 00:00:00+00:00,25,4,23,3
